"No.","Time","Source","Destination","Protocol","Length","Info"
"128","62","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=4961 Ack=1 Win=65536 Len=80 TSval=117294954 TSecr=117293954 [TCP segment of a reassembled PDU]"
"129","62","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5041 Win=65408 Len=0 TSval=117294954 TSecr=117294954"
"130","63","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5041 Ack=1 Win=65536 Len=80 TSval=117295955 TSecr=117294954 [TCP segment of a reassembled PDU]"
"131","63","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5121 Win=65408 Len=0 TSval=117295955 TSecr=117295955"
"132","64","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5121 Ack=1 Win=65536 Len=80 TSval=117296955 TSecr=117295955 [TCP segment of a reassembled PDU]"
"133","64","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5201 Win=65408 Len=0 TSval=117296955 TSecr=117296955"
"134","65","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5201 Ack=1 Win=65536 Len=80 TSval=117297956 TSecr=117296955 [TCP segment of a reassembled PDU]"
"135","65","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5281 Win=65408 Len=0 TSval=117297956 TSecr=117297956"
"136","66","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5281 Ack=1 Win=65536 Len=80 TSval=117298957 TSecr=117297956 [TCP segment of a reassembled PDU]"
"137","66","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5361 Win=65408 Len=0 TSval=117298957 TSecr=117298957"
"138","67","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5361 Ack=1 Win=65536 Len=80 TSval=117299957 TSecr=117298957 [TCP segment of a reassembled PDU]"
"139","67","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5441 Win=65408 Len=0 TSval=117299958 TSecr=117299957"
"140","68","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5441 Ack=1 Win=65536 Len=80 TSval=117300960 TSecr=117299958 [TCP segment of a reassembled PDU]"
"141","68","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5521 Win=65408 Len=0 TSval=117300960 TSecr=117300960"
"142","69","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5521 Ack=1 Win=65536 Len=80 TSval=117301970 TSecr=117300960 [TCP segment of a reassembled PDU]"
"143","69","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5601 Win=65408 Len=0 TSval=117301970 TSecr=117301970"
"144","70","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5601 Ack=1 Win=65536 Len=80 TSval=117302970 TSecr=117301970 [TCP segment of a reassembled PDU]"
"145","70","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5681 Win=65408 Len=0 TSval=117302970 TSecr=117302970"
"146","71","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5681 Ack=1 Win=65536 Len=80 TSval=117303970 TSecr=117302970 [TCP segment of a reassembled PDU]"
"147","71","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5761 Win=65408 Len=0 TSval=117303971 TSecr=117303970"
"148","72","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5761 Ack=1 Win=65536 Len=80 TSval=117304971 TSecr=117303971 [TCP segment of a reassembled PDU]"
"149","72","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5841 Win=65408 Len=0 TSval=117304971 TSecr=117304971"
